A̱o,Tipo de incidente,Cantidad,Tiempo de repuesta,Distrito
2010,1,26748,239,Citywide
2010,2,18466,266,Citywide
2010,3,213982,259,Citywide
2010,4,26119,265,Citywide
2010,1,6173,247,Manhattan
2010,2,4160,262,Manhattan
2010,3,56345,263,Manhattan
2010,4,4775,272,Manhattan
2010,1,5909,253,Bronx
2010,2,2980,278,Bronx
2010,3,39987,267,Bronx
2010,4,6770,278,Bronx
2010,1,1243,273,Staten
2010,2,1258,298,Staten
2010,3,10444,275,Staten
2010,4,2126,260,Staten
2010,1,8647,212,Broklyn
2010,2,5536,239,Broklyn
2010,3,56931,237,Broklyn
2010,4,5282,238,Broklyn
2010,1,4785,264,Queens
2010,2,4206,287,Queens
2010,3,45340,273,Queens
2010,4,7166,272,Queens
2011,1,25380,241,Citywide
2011,2,16485,262,Citywide
2011,3,212401,255,Citywide
2011,4,24027,269,Citywide
2011,1,5742,250,Manhattan
2011,2,3483,262,Manhattan
2011,3,56175,261,Manhattan
2011,4,5238,277,Manhattan
2011,1,5200,248,Bronx
2011,2,2437,278,Bronx
2011,3,39374,263,Bronx
2011,4,6473,282,Bronx
2011,1,1257,275,Staten
2011,2,843,282,Staten
2011,3,10633,268,Staten
2011,4,2043,278,Staten
2011,1,8105,216,Broklyn
2011,2,4951,233,Broklyn
2011,3,61438,229,Broklyn
2011,4,4727,241,Broklyn
2011,1,4656,261,Queens
2011,2,3655,278,Queens
2011,3,44871,269,Queens
2011,4,5557,283,Queens
2012,1,25612,243,Citywide
2012,2,14187,267,Citywide
2012,3,214907,252,Citywide
2012,4,21470,275,Citywide
2012,1,5779,251,Manhattan
2012,2,3418,246,Manhattan
2012,3,57866,260,Manhattan
2012,4,4607,287,Manhattan
2012,1,5512,231,Bronx
2012,2,2165,290,Bronx
2012,3,40209,260,Bronx
2012,4,5212,285,Bronx
2012,1,1334,270,Staten
2012,2,864,281,Staten
2012,3,10470,265,Staten
2012,4,1762,276,Staten
2012,1,7486,217,Broklyn
2012,2,4474,239,Broklyn
2012,3,62471,230,Broklyn
2012,4,4653,248,Broklyn
2012,1,4972,262,Queens
2012,2,3166,286,Queens
2012,3,42891,265,Queens
2012,4,5036,280,Queens
2013,1,25097,245,Citywide
2013,2,14568,263,Citywide
2013,3,222879,257,Citywide
2013,4,19346,277,Citywide
2013,1,5721,254,Manhattan
2013,2,3771,270,Manhattan
2013,3,60603,266,Manhattan
2013,4,4333,292,Manhattan
2013,1,5634,252,Bronx
2013,2,2304,281,Bronx
2013,3,42043,266,Bronx
2013,4,4767,288,Bronx
2013,1,1252,270,Staten
2013,2,711,292,Staten
2013,3,10654,275,Staten
2013,4,1554,287,Staten
2013,1,7690,217,Broklyn
2013,2,4419,233,Broklyn
2013,3,65143,235,Broklyn
2013,4,4488,243,Broklyn
2013,1,0,0,Queens
2013,2,0,0,Queens
2013,3,0,0,Queens
2013,4,0,0,Queens
2014,1,26531,249,Citywide
2014,2,15512,265,Citywide
2014,3,231122,263,Citywide
2014,4,19909,278,Citywide
2014,1,6077,258,Manhattan
2014,2,4168,275,Manhattan
2014,3,62934,273,Manhattan
2014,4,4512,297,Manhattan
2014,1,5870,258,Bronx
2014,2,2225,279,Bronx
2014,3,44369,273,Bronx
2014,4,4601,283,Bronx
2014,1,1373,274,Staten
2014,2,835,286,Staten
2014,3,10884,273,Staten
2014,4,1515,282,Staten
2014,1,8041,220,Broklyn
2014,2,4725,233,Broklyn
2014,3,66766,240,Broklyn
2014,4,4801,249,Broklyn
2014,1,5170,271,Queens
2014,2,3559,280,Queens
2014,3,46169,274,Queens
2014,4,4480,282,Queens
2015,1,27403,251,Citywide
2015,2,18073,270,Citywide
2015,3,269951,271,Citywide
2015,4,21045,282,Citywide
2015,1,6204,263,Manhattan
2015,2,4445,290,Manhattan
2015,3,74593,289,Manhattan
2015,4,4181,301,Manhattan
2015,1,5937,258,Bronx
2015,2,2519,284,Bronx
2015,3,52401,284,Bronx
2015,4,4848,286,Bronx
2015,1,1446,273,Staten
2015,2,860,281,Staten
2015,3,12382,277,Staten
2015,4,1719,282,Staten
2015,1,8518,221,Broklyn
2015,2,6107,238,Broklyn
2015,3,77171,243,Broklyn
2015,4,5844,257,Broklyn
2015,1,5298,273,Queens
2015,2,4142,285,Queens
2015,3,53404,277,Queens
2015,4,4453,292,Queens
2016,1,26491,252,Citywide
2016,2,14734,271,Citywide
2016,3,275723,273,Citywide
2016,4,20957,282,Citywide
2016,1,5947,266,Manhattan
2016,2,3667,288,Manhattan
2016,3,75266,294,Manhattan
2016,4,4218,306,Manhattan
2016,1,5846,259,Bronx
2016,2,2230,283,Bronx
2016,3,53025,291,Bronx
2016,4,4738,290,Bronx
2016,1,1343,267,Staten
2016,2,929,292,Staten
2016,3,13012,266,Staten
2016,4,1537,270,Staten
2016,1,8055,222,Broklyn
2016,2,4669,239,Broklyn
2016,3,78217,243,Broklyn
2016,4,5787,252,Broklyn
2016,1,5300,271,Queens
2016,2,3239,284,Queens
2016,3,56203,280,Queens
2016,4,4677,291,Queens
2017,1,26484,254,Citywide
2017,2,15939,270,Citywide
2017,3,284000,278,Citywide
2017,4,20569,282,Citywide
2017,1,5775,266,Manhattan
2017,2,4230,284,Manhattan
2017,3,77786,301,Manhattan
2017,4,4055,307,Manhattan
2017,1,5903,263,Bronx
2017,2,2429,288,Bronx
2017,3,55028,299,Bronx
2017,4,4371,295,Bronx
2017,1,1293,273,Staten
2017,2,616,273,Staten
2017,3,13476,267,Staten
2017,4,1321,270,Staten
2017,1,8206,223,Broklyn
2017,2,4974,237,Broklyn
2017,3,80287,247,Broklyn
2017,4,5961,252,Broklyn
2017,1,5307,276,Queens
2017,2,3690,287,Queens
2017,3,57423,286,Queens
2017,4,4861,288,Queens
2018,1,27053,267,Citywide
2018,2,13730,290,Citywide
2018,3,300598,285,Citywide
2018,4,21437,297,Citywide
2018,1,5996,279,Manhattan
2018,2,3297,312,Manhattan
2018,3,83204,310,Manhattan
2018,4,4090,322,Manhattan
2018,1,6066,274,Bronx
2018,2,2175,310,Bronx
2018,3,59547,306,Bronx
2018,4,4672,315,Bronx
2018,1,1391,288,Staten
2018,2,595,301,Staten
2018,3,13962,273,Staten
2018,4,1446,285,Staten
2018,1,8342,238,Broklyn
2018,2,4472,255,Broklyn
2018,3,84253,252,Broklyn
2018,4,6288,269,Broklyn
2018,1,5258,283,Queens
2018,2,3191,302,Queens
2018,3,59362,291,Queens
2018,4,4941,299,Queens
